zone,date,description,score_key,value
la-msa,2020-02-23,hhld_single_mother,C000_P_c45_AM_autoN_fareN,131168.31
la-msa,2020-03-15,hhld_single_mother,C000_P_c45_AM_autoN_fareN,130700.29
la-msa,2020-04-19,hhld_single_mother,C000_P_c45_AM_autoN_fareN,128476.94
la-msa,2020-05-10,hhld_single_mother,C000_P_c45_AM_autoN_fareN,128550.016
la-msa,2020-06-21,hhld_single_mother,C000_P_c45_AM_autoN_fareN,120573.47
la-msa,2020-07-19,hhld_single_mother,C000_P_c45_AM_autoN_fareN,115008.93
la-msa,2020-08-16,hhld_single_mother,C000_P_c45_AM_autoN_fareN,127291.79
la-msa,2020-09-20,hhld_single_mother,C000_P_c45_AM_autoN_fareN,125642.48
la-msa,2020-10-18,hhld_single_mother,C000_P_c45_AM_autoN_fareN,133458.38
la-msa,2020-11-15,hhld_single_mother,C000_P_c45_AM_autoN_fareN,133420.23
la-msa,2020-12-20,hhld_single_mother,C000_P_c45_AM_autoN_fareN,132923.77
la-msa,2021-01-17,hhld_single_mother,C000_P_c45_AM_autoN_fareN,135035.66
la-msa,2021-02-21,hhld_single_mother,C000_P_c45_AM_autoN_fareN,122717.12
la-msa,2021-07-11,hhld_single_mother,C000_P_c45_AM_autoN_fareN,145119.47
la-msa,2021-09-12,hhld_single_mother,C000_P_c45_AM_autoN_fareN,151292.78
la-msa,2020-02-23,pop_asiapacific,C000_P_c45_AM_autoN_fareN,115382.695
la-msa,2020-03-15,pop_asiapacific,C000_P_c45_AM_autoN_fareN,113906.57
la-msa,2020-04-19,pop_asiapacific,C000_P_c45_AM_autoN_fareN,109335.89
la-msa,2020-05-10,pop_asiapacific,C000_P_c45_AM_autoN_fareN,111061.766
la-msa,2020-06-21,pop_asiapacific,C000_P_c45_AM_autoN_fareN,98900.54
la-msa,2020-07-19,pop_asiapacific,C000_P_c45_AM_autoN_fareN,96651.93
la-msa,2020-08-16,pop_asiapacific,C000_P_c45_AM_autoN_fareN,104101.34
la-msa,2020-09-20,pop_asiapacific,C000_P_c45_AM_autoN_fareN,103780.164
la-msa,2020-10-18,pop_asiapacific,C000_P_c45_AM_autoN_fareN,111250.67
la-msa,2020-11-15,pop_asiapacific,C000_P_c45_AM_autoN_fareN,110781.02
la-msa,2020-12-20,pop_asiapacific,C000_P_c45_AM_autoN_fareN,112707.11
la-msa,2021-01-17,pop_asiapacific,C000_P_c45_AM_autoN_fareN,113009.836
la-msa,2021-02-21,pop_asiapacific,C000_P_c45_AM_autoN_fareN,103384.29
la-msa,2021-07-11,pop_asiapacific,C000_P_c45_AM_autoN_fareN,121402.266
la-msa,2021-09-12,pop_asiapacific,C000_P_c45_AM_autoN_fareN,125164.65
la-msa,2020-02-23,pop_black,C000_P_c45_AM_autoN_fareN,141439.84
la-msa,2020-03-15,pop_black,C000_P_c45_AM_autoN_fareN,143259.67
la-msa,2020-04-19,pop_black,C000_P_c45_AM_autoN_fareN,144054.67
la-msa,2020-05-10,pop_black,C000_P_c45_AM_autoN_fareN,138528.14
la-msa,2020-06-21,pop_black,C000_P_c45_AM_autoN_fareN,136717.84
la-msa,2020-07-19,pop_black,C000_P_c45_AM_autoN_fareN,124506.48
la-msa,2020-08-16,pop_black,C000_P_c45_AM_autoN_fareN,145382.6
la-msa,2020-09-20,pop_black,C000_P_c45_AM_autoN_fareN,142076.55
la-msa,2020-10-18,pop_black,C000_P_c45_AM_autoN_fareN,148029.08
la-msa,2020-11-15,pop_black,C000_P_c45_AM_autoN_fareN,148374.4
la-msa,2020-12-20,pop_black,C000_P_c45_AM_autoN_fareN,146637.84
la-msa,2021-01-17,pop_black,C000_P_c45_AM_autoN_fareN,149152.3
la-msa,2021-02-21,pop_black,C000_P_c45_AM_autoN_fareN,126303.07
la-msa,2021-07-11,pop_black,C000_P_c45_AM_autoN_fareN,162154.64
la-msa,2021-09-12,pop_black,C000_P_c45_AM_autoN_fareN,170603.66
la-msa,2020-02-23,pop_hispanic,C000_P_c45_AM_autoN_fareN,131808.86
la-msa,2020-03-15,pop_hispanic,C000_P_c45_AM_autoN_fareN,130911.39
la-msa,2020-04-19,pop_hispanic,C000_P_c45_AM_autoN_fareN,128576.266
la-msa,2020-05-10,pop_hispanic,C000_P_c45_AM_autoN_fareN,129483.69
la-msa,2020-06-21,pop_hispanic,C000_P_c45_AM_autoN_fareN,119738.695
la-msa,2020-07-19,pop_hispanic,C000_P_c45_AM_autoN_fareN,115184.984
la-msa,2020-08-16,pop_hispanic,C000_P_c45_AM_autoN_fareN,126489.25
la-msa,2020-09-20,pop_hispanic,C000_P_c45_AM_autoN_fareN,125053.266
la-msa,2020-10-18,pop_hispanic,C000_P_c45_AM_autoN_fareN,133456.12
la-msa,2020-11-15,pop_hispanic,C000_P_c45_AM_autoN_fareN,133832.4
la-msa,2020-12-20,pop_hispanic,C000_P_c45_AM_autoN_fareN,133400.56
la-msa,2021-01-17,pop_hispanic,C000_P_c45_AM_autoN_fareN,135651.77
la-msa,2021-02-21,pop_hispanic,C000_P_c45_AM_autoN_fareN,124649.555
la-msa,2021-07-11,pop_hispanic,C000_P_c45_AM_autoN_fareN,145470.67
la-msa,2021-09-12,pop_hispanic,C000_P_c45_AM_autoN_fareN,151818.66
la-msa,2020-02-23,pop_poverty,C000_P_c45_AM_autoN_fareN,159092.22
la-msa,2020-03-15,pop_poverty,C000_P_c45_AM_autoN_fareN,158000.08
la-msa,2020-04-19,pop_poverty,C000_P_c45_AM_autoN_fareN,156700.75
la-msa,2020-05-10,pop_poverty,C000_P_c45_AM_autoN_fareN,157519.58
la-msa,2020-06-21,pop_poverty,C000_P_c45_AM_autoN_fareN,147375.42
la-msa,2020-07-19,pop_poverty,C000_P_c45_AM_autoN_fareN,140292.64
la-msa,2020-08-16,pop_poverty,C000_P_c45_AM_autoN_fareN,155413.25
la-msa,2020-09-20,pop_poverty,C000_P_c45_AM_autoN_fareN,153182.16
la-msa,2020-10-18,pop_poverty,C000_P_c45_AM_autoN_fareN,162541.86
la-msa,2020-11-15,pop_poverty,C000_P_c45_AM_autoN_fareN,162102.47
la-msa,2020-12-20,pop_poverty,C000_P_c45_AM_autoN_fareN,160998.6
la-msa,2021-01-17,pop_poverty,C000_P_c45_AM_autoN_fareN,164568.08
la-msa,2021-02-21,pop_poverty,C000_P_c45_AM_autoN_fareN,148789.11
la-msa,2021-07-11,pop_poverty,C000_P_c45_AM_autoN_fareN,175529.28
la-msa,2021-09-12,pop_poverty,C000_P_c45_AM_autoN_fareN,182745.48
la-msa,2020-02-23,pop_total,C000_P_c45_AM_autoN_fareN,119562.13
la-msa,2020-03-15,pop_total,C000_P_c45_AM_autoN_fareN,118890.07
la-msa,2020-04-19,pop_total,C000_P_c45_AM_autoN_fareN,116359.59
la-msa,2020-05-10,pop_total,C000_P_c45_AM_autoN_fareN,116495.266
la-msa,2020-06-21,pop_total,C000_P_c45_AM_autoN_fareN,107461.945
la-msa,2020-07-19,pop_total,C000_P_c45_AM_autoN_fareN,102457.96
la-msa,2020-08-16,pop_total,C000_P_c45_AM_autoN_fareN,112974.75
la-msa,2020-09-20,pop_total,C000_P_c45_AM_autoN_fareN,111483.3
la-msa,2020-10-18,pop_total,C000_P_c45_AM_autoN_fareN,119367.1
la-msa,2020-11-15,pop_total,C000_P_c45_AM_autoN_fareN,119238.13
la-msa,2020-12-20,pop_total,C000_P_c45_AM_autoN_fareN,118892.32
la-msa,2021-01-17,pop_total,C000_P_c45_AM_autoN_fareN,120650.45
la-msa,2021-02-21,pop_total,C000_P_c45_AM_autoN_fareN,110260.32
la-msa,2021-07-11,pop_total,C000_P_c45_AM_autoN_fareN,129470.45
la-msa,2021-09-12,pop_total,C000_P_c45_AM_autoN_fareN,135053.75
la-msa,2020-02-23,pop_white,C000_P_c45_AM_autoN_fareN,99289.72
la-msa,2020-03-15,pop_white,C000_P_c45_AM_autoN_fareN,98890.19
la-msa,2020-04-19,pop_white,C000_P_c45_AM_autoN_fareN,96425.95
la-msa,2020-05-10,pop_white,C000_P_c45_AM_autoN_fareN,95794.07
la-msa,2020-06-21,pop_white,C000_P_c45_AM_autoN_fareN,87852.77
la-msa,2020-07-19,pop_white,C000_P_c45_AM_autoN_fareN,82375.85
la-msa,2020-08-16,pop_white,C000_P_c45_AM_autoN_fareN,91125.12
la-msa,2020-09-20,pop_white,C000_P_c45_AM_autoN_fareN,89362.305
la-msa,2020-10-18,pop_white,C000_P_c45_AM_autoN_fareN,97169.24
la-msa,2020-11-15,pop_white,C000_P_c45_AM_autoN_fareN,96381.266
la-msa,2020-12-20,pop_white,C000_P_c45_AM_autoN_fareN,95234.555
la-msa,2021-01-17,pop_white,C000_P_c45_AM_autoN_fareN,96949.2
la-msa,2021-02-21,pop_white,C000_P_c45_AM_autoN_fareN,89717.77
la-msa,2021-07-11,pop_white,C000_P_c45_AM_autoN_fareN,103733.34
la-msa,2021-09-12,pop_white,C000_P_c45_AM_autoN_fareN,108520.336
la-msa,2020-02-23,workers_essential,C000_P_c45_AM_autoN_fareN,116454.35
la-msa,2020-03-15,workers_essential,C000_P_c45_AM_autoN_fareN,115931.39
la-msa,2020-04-19,workers_essential,C000_P_c45_AM_autoN_fareN,113206.88
la-msa,2020-05-10,workers_essential,C000_P_c45_AM_autoN_fareN,113050.69
la-msa,2020-06-21,workers_essential,C000_P_c45_AM_autoN_fareN,104089.72
la-msa,2020-07-19,workers_essential,C000_P_c45_AM_autoN_fareN,98889.32
la-msa,2020-08-16,workers_essential,C000_P_c45_AM_autoN_fareN,109527.54
la-msa,2020-09-20,workers_essential,C000_P_c45_AM_autoN_fareN,108068.805
la-msa,2020-10-18,workers_essential,C000_P_c45_AM_autoN_fareN,115853.31
la-msa,2020-11-15,workers_essential,C000_P_c45_AM_autoN_fareN,115878.71
la-msa,2020-12-20,workers_essential,C000_P_c45_AM_autoN_fareN,115330.984
la-msa,2021-01-17,workers_essential,C000_P_c45_AM_autoN_fareN,116960.99
la-msa,2021-02-21,workers_essential,C000_P_c45_AM_autoN_fareN,106837.25
la-msa,2021-07-11,workers_essential,C000_P_c45_AM_autoN_fareN,125914.3
la-msa,2021-09-12,workers_essential,C000_P_c45_AM_autoN_fareN,131329.52
la-msa,2020-02-23,hhld_single_mother,C000_P_c45_AM_autoN_fareY,128912.38
la-msa,2020-03-15,hhld_single_mother,C000_P_c45_AM_autoN_fareY,128490.22
la-msa,2020-04-19,hhld_single_mother,C000_P_c45_AM_autoN_fareY,126514.734
la-msa,2020-05-10,hhld_single_mother,C000_P_c45_AM_autoN_fareY,126513.82
la-msa,2020-06-21,hhld_single_mother,C000_P_c45_AM_autoN_fareY,118302.71
la-msa,2020-07-19,hhld_single_mother,C000_P_c45_AM_autoN_fareY,112628.99
la-msa,2020-08-16,hhld_single_mother,C000_P_c45_AM_autoN_fareY,124871.15
la-msa,2020-09-20,hhld_single_mother,C000_P_c45_AM_autoN_fareY,123157.59
la-msa,2020-10-18,hhld_single_mother,C000_P_c45_AM_autoN_fareY,130356.586
la-msa,2020-11-15,hhld_single_mother,C000_P_c45_AM_autoN_fareY,131310.6
la-msa,2020-12-20,hhld_single_mother,C000_P_c45_AM_autoN_fareY,130928.56
la-msa,2021-01-17,hhld_single_mother,C000_P_c45_AM_autoN_fareY,132935.5
